Frame,ROI1_Vimentin_Intensity,ROI1_FAK_Intensity,ROI1_FAK_Area_Pixels,ROI1_Norm_Vimentin,ROI1_Norm_FAK
64,7.420330969267139,12.011111111111111,2322,0.35141065830721,0.7010327770457195
65,7.782269503546099,12.259574468085106,2381,0.368551276309897,0.7155344293510131
66,7.565721040189126,12.228014184397162,2402,0.35829601433049707,0.7136924021552408
67,7.714420803782506,12.254609929078015,2457,0.36533811016569634,0.7152446722640378
68,7.530496453900709,12.20260047281324,2420,0.35662785490371696,0.7122091218290572
69,8.453900709219859,12.685460992907801,2517,0.40035826242722794,0.7403914480265472
70,7.1436170212765955,12.176477541371158,2406,0.33830609046126286,0.7106844476333055
71,6.887943262411348,12.280614657210402,2469,0.32619793999104346,0.716762447481528
72,6.890307328605201,12.11371158392435,2447,0.32630989699955215,0.7070210901765448
73,6.195153664302601,12.042553191489361,2378,0.2933889386475593,0.7028679052632305
74,7.252127659574468,12.728486997635933,2559,0.3434449171518137,0.7429026761136676
75,7.9059101654846335,12.55260047281324,2456,0.3744066278549037,0.7326369964608241
76,8.27789598108747,12.60756501182033,2499,0.39202306314375274,0.7358450213523376
77,8.444089834515367,12.730023640661939,2458,0.3998936408419167,0.7429923628310647
78,8.63191489361702,12.981087470449173,2536,0.40878862516793546,0.7576457926581074
79,8.314184397163121,13.03096926713948,2504,0.39374160322436186,0.7605571614843841
